ID,Group,round,Decmaps,Decpics,Expltime,Dectime_interval,Dectimes,Payoffs,prev_n_selected_times,prev_n_avg_payoff,Dectimes_interval
201907,H,16,"[371, 449, 452, 475, 87, 499, 85, 527, 450, 441, 470, 392, 82, 500, 372, 105, 513, 505, 516, 391]","[527, 505, 82, 105]","[10.703000000001339, 0, 1.7710000000006403, 0, 9.762999999991735, 0, 0, 17.310999999994237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13.18800000000192, 5.021999999997206, 13.527999999998428, 6.0310000000026776]","[58688.013, 58701.201, 58706.223, 58719.751, 58725.782]","[6, 6, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,17,"[275, 531, 385, 276, 469, 427, 272, 493, 392, 504, 530, 269, 363, 538, 380, 503, 426, 535, 397, 416]","[531, 426, 385, 503]","[0, 22.30800000000454, 0, 0, 0, 22.934000000015658, 0, 1.5749999999970896, 0, 0, 0, 5.919000000008964, 38.28199999999924, 0, 0, 0, 0, 0, 0, 0]","[10.343000000000757, 25.057999999997264, 3.371000000006461, 2.561999999998079]","[58910.619, 58920.962, 58946.02, 58949.391, 58951.953]","[6, 5, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,18,"[24, 54, 103, 240, 244, 65, 457, 454, 247, 34, 2, 40, 101, 73, 245, 448, 53, 90, 36, 458]","[90, 101, 247, 244]","[9.019000000007509, 0, 0, 0, 24.449000000000524, 0, 0, 0.5869999999995343, 0, 0, 0, 2.550999999999476, 22.62399999999616, 0, 0, 0, 0, 0, 0, 0]","[20.073999999993248, 6.50800000000163, 1.6070000000036089, 2.1679999999978463]","[58954.107, 58974.181, 58980.689, 58982.296, 58984.464]","[5, 5, 6, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,19,"[283, 390, 25, 90, 229, 29, 372, 263, 219, 271, 231, 93, 285, 388, 102, 8, 391, 15, 240, 74]","[25, 29, 15, 8]","[0, 2.5820000000094296, 3.6999999999970896, 0, 0, 0, 0, 0, 0, 0, 31.048999999969965, 0, 5.2960000000020955, 0, 0, 0, 0, 0, 0, 11.835999999995693]","[24.30500000000029, 3.533000000003085, 1.3669999999983702, 8.84100000000035]","[59176.147, 59200.452, 59203.985, 59205.352, 59214.193]","[3, 3, 3, 3]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 5.0, 6.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,20,"[462, 416, 530, 485, 398, 447, 522, 441, 44, 494, 516, 467, 505, 497, 479, 69, 423, 417, 63, 57]","[398, 416, 417, 63]","[4.052000000003318, 0, 0, 0, 28.504999999990105, 0, 34.46499999999651, 0, 0, 2.8739999999961583, 0, 0, 0, 0, 0, 3.611000000004424, 0, 0, 0, 0]","[6.086000000002969, 15.779999999998836, 5.436999999998079, 34.53399999999965]","[59216.498, 59222.584, 59238.364, 59243.801, 59278.335]","[5, 5, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
201907,H,21,"[508, 444, 512, 30, 465, 440, 5, 527, 58, 419, 56, 458, 426, 416, 44, 24, 530, 405, 38, 33]","[508, 512, 527, 530]","[0, 0, 0, 0, 0, 3.1229999999995925, 0, 17.310999999994237, 7.8879999999917345, 35.73500000000058, 0, 0, 0, 0, 0, 9.019000000007509, 0, 0, 0, 0]","[20.804000000003725, 5.180000000000291, 17.37999999999738, 1.430000000000291]","[59468.429, 59489.233, 59494.413, 59511.793, 59513.223]","[6, 6, 6, 6]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,22,"[240, 493, 221, 475, 387, 83, 225, 90, 242, 270, 282, 373, 372, 276, 260, 365, 96, 498, 103, 502]","[90, 225, 221, 96]","[0, 1.5749999999970896, 0, 0, 0, 0, 0, 0, 27.036999999989348, 0, 0, 15.622000000010303, 0, 0, 8.21600000000035, 0, 39.43800000001647, 0, 0, 0]","[23.205999999998312, 30.50499999999738, 17.97500000000582, 3.9839999999967404]","[59516.453, 59539.659, 59570.164, 59588.139, 59592.123]","[5, 6, 6, 5]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,23,"[86, 498, 269, 497, 392, 268, 518, 263, 475, 101, 386, 106, 506, 385, 508, 493, 512, 107, 393, 283]","[506, 512, 508, 518]","[0, 0, 5.919000000008964, 0, 0, 0, 0, 0, 0, 22.62399999999616, 0, 0, 33.32599999998638, 0, 0, 1.5749999999970896, 0, 0, 2.0759999999936554, 0]","[36.85299999999552, 7.4120000000039, 13.281000000002678, 9.98399999999674]","[59778.22, 59815.073, 59822.485, 59835.766, 59845.75]","[6, 6, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 4.0, 6.0, 0.0, 6.0, 0.0, 0.0, 0.0]",
201907,H,24,"[443, 30, 29, 71, 234, 454, 467, 221, 217, 5, 54, 410, 225, 431, 55, 441, 65, 427, 432, 24]","[427, 432, 431, 410]","[0, 0, 0, 3.588999999992666, 0, 0.5869999999995343, 0, 0, 74.23700000002282, 0, 0, 0, 0, 0, 0, 0, 0, 22.934000000015658, 0, 9.019000000007509]","[17.082000000002154, 1.8299999999944703, 1.8720000000030268, 1.4259999999994761]","[59847.542, 59864.624, 59866.454, 59868.326, 59869.752]","[5, 5, 5, 5]","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
201907,H,25,"[240, 380, 384, 270, 256, 226, 33, 365, 408, 432, 275, 7, 415, 236, 401, 247, 279, 389, 29, 36]","[380, 365, 389, 226]","[0, 0, 11.570999999981723, 0, 0, 0, 0, 0, 0, 0, 0, 1.2210000000050059, 0, 13.797999999987951, 5.547000000005937, 0, 3.357000000003609, 0, 0, 0]","[100.29699999999866, 3.0829999999987194, 3.8799999999973807, 6.120000000002619]","[60055.107, 60155.404, 60158.487, 60162.367, 60168.487]","[4, 4, 4, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 3.0, 0.0]",
